filename,global_quality_mean
0001445.jpg,2.8036
0001449.jpg,3.505
0001455.jpg,3.0016
0001460.jpg,2.458
0001466.jpg,3.237
0001469.jpg,3.2974
0001483.jpg,3.9526
0001484.jpg,3.2552
0001487.jpg,3.8629
0001505.jpg,3.9615
0001525.jpg,2.8154
0001527.jpg,3.5065
0001531.jpg,3.9527
0001537.jpg,3.5487
0001540.jpg,3.9022
0001545.jpg,3.9572
0001550.jpg,3.4246
0001555.jpg,3.8887
0001556.jpg,3.6597
0001558.jpg,3.6838
0001567.jpg,4.0414
0001573.jpg,3.9782
0001577.jpg,3.6462
0001579.jpg,3.7066
0001581.jpg,3.729
0001582.jpg,3.6842
0001604.jpg,3.8814
0001609.jpg,3.9853
0001623.jpg,3.4907
0001624.jpg,3.6803
0001625.jpg,3.2844
0001626.jpg,3.578
0001628.jpg,3.9448
0001635.jpg,3.96
0001637.jpg,3.5372
0001645.jpg,3.2121
0001648.jpg,3.6083
0001655.jpg,3.514
0001664.jpg,3.9696
0001678.jpg,3.3507
0001688.jpg,3.7052
0001695.jpg,3.748
0001696.jpg,3.8821
0001699.jpg,3.8114
0001703.jpg,3.8251
0001707.jpg,3.8126
0001715.jpg,2.3322
0001719.jpg,3.0661
0001722.jpg,2.9657
0001726.jpg,2.5563
0001735.jpg,2.0207
0001752.jpg,2.2499
0001755.jpg,2.0185
0001765.jpg,1.6974
0001770.jpg,2.9212
0001772.jpg,2.0013
0001778.jpg,2.3349
0001781.jpg,2.247
0001785.jpg,2.6654
0001787.jpg,2.5672
0001791.jpg,2.6785
0001796.jpg,1.751
0001798.jpg,2.2448
0001804.jpg,1.8819
0001805.jpg,2.2498
0001810.jpg,2.6589
0001811.jpg,1.9217
0001813.jpg,2.5956
0001819.jpg,2.2937
0001821.jpg,2.3454
0001831.jpg,2.8393
0001832.jpg,3.0629
0001833.jpg,2.7834
0001841.jpg,2.1217
0001844.jpg,2.1742
0001853.jpg,2.8892
0001874.jpg,2.1208
0001876.jpg,2.4293
0001879.jpg,2.8322
0001882.jpg,2.4382
0001883.jpg,3.1974
0001887.jpg,2.9377
0001888.jpg,2.877
0001903.jpg,2.7133
0001912.jpg,2.1662
0001920.jpg,2.385
0001927.jpg,2.3835
0001930.jpg,3.0802
0001936.jpg,3.2404
0001939.jpg,2.9409
0001941.jpg,2.558
0001942.jpg,2.9931
0001946.jpg,2.8853
0001947.jpg,3.0999
0001950.jpg,3.0696
0001953.jpg,2.7635
0001956.jpg,3.9902
0001960.jpg,3.0773
0001973.jpg,2.9414
0001975.jpg,3.1237
0001985.jpg,3.3389
0001986.jpg,3.1122
0001996.jpg,3.8929
0001998.jpg,2.4683
0002003.jpg,3.9974
0002006.jpg,3.1371
0002007.jpg,2.8763
0002012.jpg,3.2576
0002015.jpg,3.2176
0002017.jpg,2.9885
0002044.jpg,2.5581
0002045.jpg,3.0911
0002059.jpg,3.7282
0002066.jpg,2.84
0002068.jpg,3.6657
0002070.jpg,3.6056
0002072.jpg,3.9538
0002075.jpg,3.6966
0002076.jpg,3.6845
0002077.jpg,3.688
0002080.jpg,3.7264
0002085.jpg,3.6614
0002089.jpg,3.6528
0002091.jpg,3.865
0002100.jpg,3.5925
0002103.jpg,3.8941
0002112.jpg,3.53
0002116.jpg,3.8772
0002136.jpg,3.6791
0002137.jpg,3.82
0002138.jpg,3.5957
0002139.jpg,3.7434
0002142.jpg,3.489
0002146.jpg,3.5352
0002152.jpg,3.6017
0002153.jpg,4.0334
0002156.jpg,3.5577
0002166.jpg,3.6316
0002167.jpg,4.0017
0002175.jpg,3.6367
0002178.jpg,3.9246
0002180.jpg,2.9631
0002185.jpg,3.5745
0002193.jpg,3.6703
0002201.jpg,3.4197
0002204.jpg,3.587
0002206.jpg,3.4706
0002211.jpg,3.5887
0002212.jpg,3.6232
0002215.jpg,3.4736
0002228.jpg,3.5581
0002230.jpg,3.5378
0002231.jpg,3.4819
0002233.jpg,3.757
0002240.jpg,3.5855
0002241.jpg,4.0163
0002242.jpg,3.7473
0002254.jpg,3.6054
0002255.jpg,3.5964
0002258.jpg,3.5161
0002263.jpg,3.6164
0002277.jpg,3.8373
0002278.jpg,2.6335
0002284.jpg,2.6235
0002287.jpg,2.5974
0002296.jpg,2.5679
0002313.jpg,2.6366
0002315.jpg,1.9211
0002320.jpg,2.1254
0002325.jpg,2.2094
0002339.jpg,2.5546
0002345.jpg,2.851
0002351.jpg,2.4083
0002368.jpg,2.6104
0002369.jpg,3.1273
0002374.jpg,2.1992
0002376.jpg,2.6417
0002387.jpg,1.9194
0002388.jpg,2.2782
0002393.jpg,2.2436
0002402.jpg,2.7632
0002410.jpg,2.5952
0002411.jpg,1.9296
0002418.jpg,2.7351
0002423.jpg,2.5095
0002425.jpg,3.4217
0002435.jpg,2.1688
0002445.jpg,2.3577
0002459.jpg,3.0402
0002460.jpg,3.0128
0002466.jpg,2.6533
0002470.jpg,2.4893
0002472.jpg,2.1708
0002475.jpg,3.1343
0002483.jpg,3.4287
0002496.jpg,2.5142
0002505.jpg,3.4148
0002517.jpg,3.733
0002522.jpg,3.0179
0002526.jpg,3.5198
0002532.jpg,3.2445
0002542.jpg,2.8103
0002543.jpg,2.5524
0002549.jpg,2.0984
0002554.jpg,3.1662
0002557.jpg,3.0587
0002565.jpg,2.4197
0002568.jpg,3.3167
0002572.jpg,3.721
0002575.jpg,3.516
0002586.jpg,3.9931
0002589.jpg,3.6188
0002594.jpg,3.043
0002599.jpg,3.4809
0002601.jpg,3.4338
0002603.jpg,3.5848
0002604.jpg,3.9364
0002614.jpg,3.5233
0002627.jpg,3.6949
0002630.jpg,2.9826
0002637.jpg,3.7131
0002638.jpg,2.8484
0002642.jpg,2.6602
0002645.jpg,3.9617
0002650.jpg,3.0241
0002651.jpg,3.4391
0002652.jpg,3.9646
0002655.jpg,2.9057
0002660.jpg,3.2536
0002662.jpg,3.8001
0002665.jpg,3.5485
0002666.jpg,3.598
0002669.jpg,3.7222
0002673.jpg,3.5086
0002674.jpg,3.6052
0002676.jpg,3.9986
0002677.jpg,3.6468
0002678.jpg,3.752
0002679.jpg,3.3603
0002681.jpg,3.7003
0002691.jpg,3.9368
0002692.jpg,3.9346
0002693.jpg,3.564
0002697.jpg,3.6952
0002699.jpg,3.488
0002702.jpg,2.7479
0002705.jpg,3.6872
0002707.jpg,2.1646
0002708.jpg,3.4186
0002714.jpg,3.4298
0002717.jpg,3.8639
0002721.jpg,3.1288
0002735.jpg,4.1414
0002736.jpg,3.6634
0002741.jpg,3.8712
0002743.jpg,3.9034
0002752.jpg,3.8765
0002757.jpg,3.7054
0002759.jpg,3.6863
0002760.jpg,3.6188
0002766.jpg,3.5959
0002767.jpg,3.5267
0002768.jpg,3.6876
0002773.jpg,3.6402
0002782.jpg,4.0747
0002790.jpg,3.4655
0002792.jpg,3.1037
0002793.jpg,3.6302
0002797.jpg,3.5565
0002813.jpg,2.4984
0002818.jpg,3.0038
0002821.jpg,2.6014
0002822.jpg,2.2635
0002827.jpg,2.8555
0002830.jpg,2.3118
0002832.jpg,2.931
0002836.jpg,2.3755
0002846.jpg,2.6647
0002849.jpg,2.6821
0002855.jpg,2.2995
0002867.jpg,2.1988
0002871.jpg,2.453
0002879.jpg,3.0201
0002886.jpg,2.2238
0002888.jpg,2.3722
0002895.jpg,1.9586
0002911.jpg,2.7454
0002914.jpg,2.6324
0002915.jpg,3.21
0002916.jpg,2.8096
0002918.jpg,3.0782
0002921.jpg,2.4482
0002924.jpg,2.9541
0002926.jpg,2.4243
0002932.jpg,3.3371
0002935.jpg,3.5743
0002936.jpg,3.257
0002943.jpg,2.9954
0002944.jpg,3.0557
0002945.jpg,3.1732
0002946.jpg,3.4774
0002949.jpg,2.3442
0002950.jpg,2.9508
0002952.jpg,2.7284
0002956.jpg,2.6215
0002960.jpg,2.7014
0002964.jpg,2.8561
0002966.jpg,2.7516
0002973.jpg,2.8017
0002976.jpg,2.8779
0002979.jpg,2.9969
0002984.jpg,3.0846
0003001.jpg,3.7282
0003012.jpg,2.8953
0003013.jpg,2.6716
0003020.jpg,3.8429
0003023.jpg,3.5135
0003027.jpg,3.1573
0003034.jpg,3.0197
0003035.jpg,2.8701
0003041.jpg,2.7917
0003052.jpg,3.8011
0003063.jpg,3.1302
0003084.jpg,2.4216
0003087.jpg,3.1073
0003088.jpg,2.9382
0003089.jpg,3.8695
0003091.jpg,2.8585
0003092.jpg,2.8308
0003093.jpg,3.7836
0003094.jpg,3.3914
0003098.jpg,2.8038
0003106.jpg,3.3457
0003107.jpg,3.7552
0003114.jpg,4.0187
0003118.jpg,3.854
0003124.jpg,3.6212
0003134.jpg,3.2315
0003140.jpg,3.1119
0003142.jpg,3.7438
0003144.jpg,3.6639
0003148.jpg,3.9083
0003156.jpg,3.6006
0003157.jpg,3.7377
0003166.jpg,2.0194
0003168.jpg,3.3924
0003170.jpg,3.0147
0003171.jpg,3.6377
0003176.jpg,2.319
0003180.jpg,3.7343
0003187.jpg,3.8981
0003189.jpg,3.8129
0003199.jpg,3.9493
0003202.jpg,2.4291
0003206.jpg,3.6776
0003210.jpg,3.4259
0003219.jpg,2.8353
0003223.jpg,3.8685
0003225.jpg,3.4356
0003227.jpg,3.8362
0003230.jpg,3.9609
0003241.jpg,3.7418
0003252.jpg,3.8303
0003258.jpg,3.6326
0003262.jpg,3.6409
0003267.jpg,3.7751
0003269.jpg,3.7124
0003270.jpg,3.6904
0003271.jpg,3.6221
0003276.jpg,3.8439
0003279.jpg,3.8537
0003280.jpg,3.762
0003281.jpg,3.7547
0003283.jpg,3.6746
0003287.jpg,3.8305
0003293.jpg,3.658
0003295.jpg,3.9707
0003299.jpg,3.6578
0003305.jpg,3.9662
0003324.jpg,2.5003
0003329.jpg,2.5494
0003337.jpg,2.5761
0003343.jpg,3.0798
0003344.jpg,2.5298
0003349.jpg,3.0217
0003355.jpg,3.1784
0003372.jpg,3.2229
0003381.jpg,2.4912
0003383.jpg,3.0369
0003389.jpg,2.9208
0003401.jpg,2.8383
0003407.jpg,3.3401
0003410.jpg,3.214
0003411.jpg,3.0469
0003414.jpg,2.3842
0003416.jpg,2.4617
0003424.jpg,3.2435
0003433.jpg,2.2529
0003438.jpg,2.5598
0003439.jpg,3.1572
0003443.jpg,4.2295
0003447.jpg,2.3973
0003448.jpg,2.0079
0003451.jpg,2.3198
0003453.jpg,3.0058
0003454.jpg,3.0784
0003461.jpg,2.3121
0003464.jpg,3.251
0003483.jpg,3.0477
0003501.jpg,3.0905
0003504.jpg,3.3491
0003513.jpg,3.5152
0003518.jpg,2.3845
0003519.jpg,3.1632
0003520.jpg,2.5022
0003521.jpg,4.0823
0003523.jpg,2.6861
0003527.jpg,3.6784
0003531.jpg,3.9362
0003533.jpg,4.1891
0003536.jpg,3.7385
0003539.jpg,3.1813
0003553.jpg,2.6027
0003563.jpg,3.1513
0003574.jpg,3.1869
0003576.jpg,3.8497
0003579.jpg,2.9947
0003580.jpg,3.7136
0003586.jpg,3.387
0003592.jpg,3.8688
0003595.jpg,3.8178
0003598.jpg,3.8908
0003601.jpg,3.9932
0003602.jpg,3.7893
0003604.jpg,2.7564
0003605.jpg,3.6448
0003612.jpg,3.997
0003622.jpg,3.2253
0003623.jpg,3.7082
0003626.jpg,3.5695
0003627.jpg,4.0077
0003632.jpg,3.7351
0003637.jpg,2.8785
0003641.jpg,2.8505
0003647.jpg,3.6299
0003653.jpg,3.4299
0003658.jpg,4.0619
0003664.jpg,3.8358
0003665.jpg,3.5752
0003682.jpg,3.8421
0003693.jpg,3.8226
0003700.jpg,3.6555
0003708.jpg,3.8075
0003709.jpg,3.885
0003710.jpg,3.9071
0003715.jpg,3.9019
0003719.jpg,3.5646
0003723.jpg,3.8412
0003725.jpg,4.0069
0003726.jpg,3.5259
0003732.jpg,3.8314
0003739.jpg,3.6642
0003746.jpg,3.6699
0003748.jpg,3.7107
0003750.jpg,3.5666
0003759.jpg,3.6595
0003767.jpg,3.3825
0003774.jpg,2.0167
0003777.jpg,4.1142
0003779.jpg,3.7753
0003781.jpg,3.7177
0003782.jpg,3.8602
0003784.jpg,2.1179
0003786.jpg,2.674
0003787.jpg,2.8256
0003792.jpg,2.5295
0003793.jpg,2.6983
0003795.jpg,2.8728
0003798.jpg,2.8418
0003803.jpg,2.0494
0003813.jpg,3.0902
0003816.jpg,2.7159
0003823.jpg,3.6579
0003825.jpg,2.8318
0003826.jpg,2.864
0003827.jpg,3.1885
0003831.jpg,4.2003
0003834.jpg,2.9385
0003842.jpg,1.8407
0003847.jpg,3.1702
0003849.jpg,2.228
0003862.jpg,2.5115
0003864.jpg,3.3189
0003872.jpg,3.0807
0003873.jpg,3.1045
0003880.jpg,2.3787
0003881.jpg,1.8398
0003885.jpg,2.5095
0003886.jpg,1.7602
0003894.jpg,4.33
0003899.jpg,3.2572
0003900.jpg,2.7348
0003903.jpg,2.8123
0003909.jpg,3.1659
0003922.jpg,3.7444
0003925.jpg,3.5349
0003926.jpg,3.5252
0003933.jpg,3.5763
0003938.jpg,2.9163
0003947.jpg,3.1014
0003948.jpg,3.1229
0003952.jpg,2.8017
0003957.jpg,3.861
0003962.jpg,3.0322
0003963.jpg,2.9715
0003966.jpg,3.4793
0003977.jpg,3.8824
0003978.jpg,4.072
0003980.jpg,3.9717
0003984.jpg,3.3249
0003986.jpg,2.0882
0003990.jpg,3.8411
0003997.jpg,2.7143
0004018.jpg,3.6586
0004020.jpg,3.5781
0004028.jpg,2.1227
0004033.jpg,3.8067
0004036.jpg,2.9796
0004041.jpg,3.7839
0004048.jpg,3.8127
0004050.jpg,3.7409
0004053.jpg,4.0184
0004055.jpg,4.0871
0004057.jpg,2.9248
0004062.jpg,3.9815
0004067.jpg,3.829
0004071.jpg,3.9147
0004079.jpg,2.6813
0004081.jpg,4.0454
0004084.jpg,3.1649
0004092.jpg,4.044
0004094.jpg,3.5124
0004101.jpg,4.0527
0004105.jpg,3.7963
0004107.jpg,3.8286
0004120.jpg,3.6844
0004121.jpg,3.5476
0004131.jpg,2.1599
0004132.jpg,2.2424
0004136.jpg,2.3798
0004141.jpg,3.0624
0004151.jpg,3.1232
0004155.jpg,2.879
0004156.jpg,3.0887
0004157.jpg,2.3112
0004158.jpg,2.3999
0004166.jpg,3.0447
0004167.jpg,2.8596
0004168.jpg,3.4306
0004172.jpg,2.2409
0004181.jpg,3.3281
0004183.jpg,2.6998
0004195.jpg,2.4367
0004197.jpg,3.5802
0004202.jpg,3.531
0004205.jpg,3.2199
0004218.jpg,3.4142
0004219.jpg,2.7953
0004225.jpg,2.7166
0004227.jpg,3.9133
0004228.jpg,3.1071
0004229.jpg,2.9803
0004243.jpg,2.9264
0004246.jpg,3.6641
0004247.jpg,4.0738
0004248.jpg,3.9607
0004249.jpg,3.577
0004250.jpg,2.8822
0004254.jpg,3.5954
0004255.jpg,3.9741
0004257.jpg,3.8187
0004260.jpg,4.1531
0004262.jpg,4.043
0004267.jpg,3.7331
0004269.jpg,3.9335
0004277.jpg,3.9669
0004279.jpg,3.3979
0004282.jpg,4.058
0004284.jpg,3.9806
0004286.jpg,3.7227
0004287.jpg,4.1564
0004288.jpg,3.7152
0004293.jpg,3.9477
0004300.jpg,3.9066
0004318.jpg,4.1914
0004320.jpg,4.1651
0004321.jpg,4.2365
0004325.jpg,3.8919
0004332.jpg,2.2805
0004333.jpg,3.4486
0004344.jpg,3.9801
0004346.jpg,2.5581
0004353.jpg,3.9801
0004357.jpg,3.9381
0004365.jpg,4.0238
0004367.jpg,4.0262
0004369.jpg,4.0726
0004374.jpg,4.0621
0004378.jpg,4.013
0004382.jpg,4.0233
0004387.jpg,3.0159
0004394.jpg,2.747
0004399.jpg,3.6919
0004404.jpg,3.9991
0004420.jpg,2.5111
0004425.jpg,3.6986
0004428.jpg,3.3169
0004430.jpg,3.2931
0004434.jpg,3.6708
0004438.jpg,3.5775
0004439.jpg,3.8256
0004442.jpg,3.6858
0004448.jpg,3.8577
0004450.jpg,2.2728
0004457.jpg,2.533
0004458.jpg,2.8693
0004463.jpg,2.9474
0004464.jpg,3.4951
0004469.jpg,3.6687
0004472.jpg,3.0242
0004473.jpg,2.8028
0004499.jpg,2.3734
0004504.jpg,3.7173
0004510.jpg,2.4157
0004513.jpg,2.7392
0004522.jpg,3.1359
0004529.jpg,3.4122
0004531.jpg,4.0274
0004540.jpg,2.8562
0004541.jpg,4.004
0004550.jpg,1.9564
0004551.jpg,2.2923
0004553.jpg,3.5043
0004555.jpg,3.7157
0004557.jpg,1.6813
0004565.jpg,3.0509
0004567.jpg,3.2493
0004568.jpg,3.7064
0004569.jpg,3.651
0004571.jpg,2.7972
0004572.jpg,3.3515
0004594.jpg,3.8183
0004597.jpg,3.3628
0004606.jpg,3.2086
0004614.jpg,3.6949
0004616.jpg,3.4268
0004623.jpg,2.3736
0004625.jpg,2.912
0004626.jpg,3.6278
0004630.jpg,3.2622
0004631.jpg,2.6154
0004636.jpg,3.6471
0004637.jpg,3.29
0004640.jpg,2.6287
0004650.jpg,3.7102
0004655.jpg,3.3223
0004660.jpg,2.3015
0004667.jpg,3.5988
0004678.jpg,3.6161
0004679.jpg,3.6023
0004682.jpg,3.9424
0004692.jpg,3.7587
0004693.jpg,2.9068
0004702.jpg,3.7256
0004705.jpg,3.7143
0004707.jpg,2.7647
0004716.jpg,3.6326
0004733.jpg,3.02
0004741.jpg,3.6403
0004742.jpg,3.5985
0004744.jpg,3.8377
0004746.jpg,2.9327
0004761.jpg,3.8935
0004768.jpg,3.6909
0004769.jpg,2.6898
0004770.jpg,3.3064
0004775.jpg,2.8174
0004782.jpg,2.875
0004789.jpg,1.9761
0004792.jpg,3.5997
0004796.jpg,3.959
0004801.jpg,3.8593
0004807.jpg,2.6141
0004811.jpg,2.261
0004816.jpg,3.0985
0004833.jpg,3.731
0004834.jpg,3.7293
0004841.jpg,3.7238
0004849.jpg,2.8559
0004850.jpg,3.7615
0004854.jpg,2.0231
0004855.jpg,3.299
0004858.jpg,3.4494
0004861.jpg,2.9534
0004864.jpg,2.5079
0004867.jpg,3.8873
0004875.jpg,3.2518
0004879.jpg,3.1936
0004881.jpg,2.4615
0004884.jpg,2.8074
0004886.jpg,3.2178
0004896.jpg,2.611
0004903.jpg,3.1539
0004905.jpg,2.5497
0004910.jpg,2.8673
0004922.jpg,3.5296
0004937.jpg,2.4736
0004939.jpg,3.1741
0004948.jpg,1.8886
0004953.jpg,2.753
0004955.jpg,3.6455
0004964.jpg,3.3994
0004970.jpg,3.6094
0004980.jpg,2.5236
0004983.jpg,2.7225
0004991.jpg,3.6221
0004992.jpg,2.6281
0004993.jpg,3.2444
0004997.jpg,4.008
0005001.jpg,1.7112
0005003.jpg,2.937
0005005.jpg,3.9791
0005017.jpg,3.3754
0005022.jpg,3.2688
0005033.jpg,3.786
0005036.jpg,3.7032
0005044.jpg,3.3192
0005045.jpg,2.8164
0005056.jpg,2.8153
0005058.jpg,2.9085
0005071.jpg,1.8809
0005072.jpg,3.2222
0005074.jpg,2.6189
0005079.jpg,2.0191
0005084.jpg,3.9453
0005087.jpg,3.7107
0005097.jpg,4.098
0005102.jpg,2.9446
0005104.jpg,3.0497
0005112.jpg,2.0818
0005118.jpg,3.5309
0005122.jpg,2.9442
0005123.jpg,2.5363
0005124.jpg,3.7946
0005131.jpg,3.4357
0005134.jpg,3.2253
0005138.jpg,2.8769
0005144.jpg,2.8973
0005150.jpg,3.0693
0005152.jpg,2.3092
0005154.jpg,2.5974
0005157.jpg,2.0254
0005158.jpg,3.6368
0005169.jpg,3.1567
0005171.jpg,3.5461
0005172.jpg,2.8993
0005173.jpg,2.5899
0005180.jpg,3.7352
0005182.jpg,2.9077
0005187.jpg,3.2162
0005191.jpg,3.2222
0005199.jpg,3.7684
0005203.jpg,3.6433
0005210.jpg,3.8759
0005213.jpg,3.8844
0005219.jpg,2.918
0005225.jpg,2.8679
0005227.jpg,2.9204
0005230.jpg,3.8717
0005231.jpg,2.9685
0005236.jpg,3.8361
0005239.jpg,2.1489
0005241.jpg,3.1242
0005243.jpg,3.6533
0005244.jpg,2.9847
0005245.jpg,2.4419
0005246.jpg,2.9348
0005255.jpg,2.7479
0005259.jpg,3.0851
0005261.jpg,3.7505
0005265.jpg,3.5922
0005267.jpg,3.9461
0005268.jpg,3.6986
0005269.jpg,3.5226
0005276.jpg,3.5254
0005279.jpg,2.2691
0005283.jpg,3.2423
0005291.jpg,3.1976
0005292.jpg,3.5879
0005306.jpg,2.4864
0005309.jpg,3.3425
0005316.jpg,2.7824
0005317.jpg,3.4882
0005332.jpg,3.7584
0005337.jpg,2.7929
0005339.jpg,2.81
0005343.jpg,3.9165
0005349.jpg,3.5579
0005359.jpg,3.6036
0005361.jpg,3.0958
0005367.jpg,2.6002
0005375.jpg,2.5305
0005387.jpg,2.5839
0005395.jpg,3.2533
0005397.jpg,3.4769
0005401.jpg,3.9819
0005403.jpg,2.3592
0005404.jpg,3.7615
0005408.jpg,3.621
0005410.jpg,1.811
0005412.jpg,3.1788
0005419.jpg,2.4433
